prm,startDate,powerInWatts
22151229949216,2023-11-04T23:00:00.000Z,7332
22151229949216,2023-11-05T00:00:00.000Z,7423
22151229949216,2023-11-05T01:00:00.000Z,7472
22151229949216,2023-11-05T02:00:00.000Z,7774
22151229949216,2023-11-05T03:00:00.000Z,8112
22151229949216,2023-11-05T04:00:00.000Z,8052
22151229949216,2023-11-05T05:00:00.000Z,7883
22151229949216,2023-11-05T06:00:00.000Z,7818
22151229949216,2023-11-05T07:00:00.000Z,6349
22151229949216,2023-11-05T08:00:00.000Z,866
22151229949216,2023-11-05T09:00:00.000Z,1047
22151229949216,2023-11-05T10:00:00.000Z,1040
22151229949216,2023-11-05T11:00:00.000Z,2039
22151229949216,2023-11-05T12:00:00.000Z,1876
22151229949216,2023-11-05T13:00:00.000Z,1088
22151229949216,2023-11-05T14:00:00.000Z,982
22151229949216,2023-11-05T15:00:00.000Z,1034
22151229949216,2023-11-05T16:00:00.000Z,997
22151229949216,2023-11-05T17:00:00.000Z,1576
22151229949216,2023-11-05T18:00:00.000Z,1627
22151229949216,2023-11-05T19:00:00.000Z,1231
22151229949216,2023-11-05T20:00:00.000Z,1165
22151229949216,2023-11-05T21:00:00.000Z,1538
22151229949216,2023-11-05T22:00:00.000Z,1454
22151229949216,2023-11-05T23:00:00.000Z,1418
22151229949216,2023-11-06T00:00:00.000Z,1573
22151229949216,2023-11-06T01:00:00.000Z,1693
22151229949216,2023-11-06T02:00:00.000Z,1708
22151229949216,2023-11-06T03:00:00.000Z,1505
22151229949216,2023-11-06T04:00:00.000Z,1485
22151229949216,2023-11-06T05:00:00.000Z,1250
22151229949216,2023-11-06T06:00:00.000Z,1359
22151229949216,2023-11-06T07:00:00.000Z,1232
22151229949216,2023-11-06T08:00:00.000Z,1070
22151229949216,2023-11-06T09:00:00.000Z,979
22151229949216,2023-11-06T10:00:00.000Z,910
22151229949216,2023-11-06T11:00:00.000Z,702
22151229949216,2023-11-06T12:00:00.000Z,433
22151229949216,2023-11-06T13:00:00.000Z,437
22151229949216,2023-11-06T14:00:00.000Z,456
22151229949216,2023-11-06T15:00:00.000Z,512
22151229949216,2023-11-06T16:00:00.000Z,705
22151229949216,2023-11-06T17:00:00.000Z,1899
22151229949216,2023-11-06T18:00:00.000Z,1986
22151229949216,2023-11-06T19:00:00.000Z,1143
22151229949216,2023-11-06T20:00:00.000Z,993
22151229949216,2023-11-06T21:00:00.000Z,912
22151229949216,2023-11-06T22:00:00.000Z,585
22151229949216,2023-11-06T23:00:00.000Z,572
22151229949216,2023-11-07T00:00:00.000Z,756
22151229949216,2023-11-07T01:00:00.000Z,1434
22151229949216,2023-11-07T02:00:00.000Z,1572
22151229949216,2023-11-07T03:00:00.000Z,1165
22151229949216,2023-11-07T04:00:00.000Z,1080
22151229949216,2023-11-07T05:00:00.000Z,1013
22151229949216,2023-11-07T06:00:00.000Z,1726
22151229949216,2023-11-07T07:00:00.000Z,1113
22151229949216,2023-11-07T08:00:00.000Z,1083
22151229949216,2023-11-07T09:00:00.000Z,1049
22151229949216,2023-11-07T10:00:00.000Z,979
22151229949216,2023-11-07T11:00:00.000Z,1091
22151229949216,2023-11-07T12:00:00.000Z,793
22151229949216,2023-11-07T13:00:00.000Z,829
22151229949216,2023-11-07T14:00:00.000Z,847
22151229949216,2023-11-07T15:00:00.000Z,895
22151229949216,2023-11-07T16:00:00.000Z,816
22151229949216,2023-11-07T17:00:00.000Z,1770
22151229949216,2023-11-07T18:00:00.000Z,4985
22151229949216,2023-11-07T19:00:00.000Z,8244
22151229949216,2023-11-07T20:00:00.000Z,8552
22151229949216,2023-11-07T21:00:00.000Z,8314
22151229949216,2023-11-07T22:00:00.000Z,6064
22151229949216,2023-11-07T23:00:00.000Z,1546
22151229949216,2023-11-08T00:00:00.000Z,1130
22151229949216,2023-11-08T01:00:00.000Z,1083
22151229949216,2023-11-08T02:00:00.000Z,1191
22151229949216,2023-11-08T03:00:00.000Z,1210
22151229949216,2023-11-08T04:00:00.000Z,1187
22151229949216,2023-11-08T05:00:00.000Z,1141
22151229949216,2023-11-08T06:00:00.000Z,1260
22151229949216,2023-11-08T07:00:00.000Z,1204
22151229949216,2023-11-08T08:00:00.000Z,1399
22151229949216,2023-11-08T09:00:00.000Z,1315
22151229949216,2023-11-08T10:00:00.000Z,1582
22151229949216,2023-11-08T11:00:00.000Z,1050
22151229949216,2023-11-08T12:00:00.000Z,1003
22151229949216,2023-11-08T13:00:00.000Z,1345
22151229949216,2023-11-08T14:00:00.000Z,1684
22151229949216,2023-11-08T15:00:00.000Z,2240
22151229949216,2023-11-08T16:00:00.000Z,1537
22151229949216,2023-11-08T17:00:00.000Z,2271
22151229949216,2023-11-08T18:00:00.000Z,1917
22151229949216,2023-11-08T19:00:00.000Z,1134
22151229949216,2023-11-08T20:00:00.000Z,1142
22151229949216,2023-11-08T21:00:00.000Z,1165
22151229949216,2023-11-08T22:00:00.000Z,1061
22151229949216,2023-11-08T23:00:00.000Z,1089
22151229949216,2023-11-09T00:00:00.000Z,875
22151229949216,2023-11-09T01:00:00.000Z,2407
22151229949216,2023-11-09T02:00:00.000Z,1885
22151229949216,2023-11-09T03:00:00.000Z,1532
22151229949216,2023-11-09T04:00:00.000Z,1056
22151229949216,2023-11-09T05:00:00.000Z,970
22151229949216,2023-11-09T06:00:00.000Z,1134
22151229949216,2023-11-09T07:00:00.000Z,983
22151229949216,2023-11-09T08:00:00.000Z,1018
22151229949216,2023-11-09T09:00:00.000Z,979
22151229949216,2023-11-09T10:00:00.000Z,915
22151229949216,2023-11-09T11:00:00.000Z,1330
22151229949216,2023-11-09T12:00:00.000Z,995
22151229949216,2023-11-09T13:00:00.000Z,1002
22151229949216,2023-11-09T14:00:00.000Z,1335
22151229949216,2023-11-09T15:00:00.000Z,5544
22151229949216,2023-11-09T16:00:00.000Z,7898
22151229949216,2023-11-09T17:00:00.000Z,7455
22151229949216,2023-11-09T18:00:00.000Z,8094
22151229949216,2023-11-09T19:00:00.000Z,7820
22151229949216,2023-11-09T20:00:00.000Z,7842
22151229949216,2023-11-09T21:00:00.000Z,7701
22151229949216,2023-11-09T22:00:00.000Z,7654
22151229949216,2023-11-09T23:00:00.000Z,7910
22151229949216,2023-11-10T00:00:00.000Z,8599
22151229949216,2023-11-10T01:00:00.000Z,8660
22151229949216,2023-11-10T02:00:00.000Z,4030
22151229949216,2023-11-10T03:00:00.000Z,1561
22151229949216,2023-11-10T04:00:00.000Z,1230
22151229949216,2023-11-10T05:00:00.000Z,1206
22151229949216,2023-11-10T06:00:00.000Z,1386
22151229949216,2023-11-10T07:00:00.000Z,1473
22151229949216,2023-11-10T08:00:00.000Z,1333
22151229949216,2023-11-10T09:00:00.000Z,1087
22151229949216,2023-11-10T10:00:00.000Z,951
22151229949216,2023-11-10T11:00:00.000Z,972
22151229949216,2023-11-10T12:00:00.000Z,1025
22151229949216,2023-11-10T13:00:00.000Z,693
22151229949216,2023-11-10T14:00:00.000Z,1042
22151229949216,2023-11-10T15:00:00.000Z,997
22151229949216,2023-11-10T16:00:00.000Z,1713
22151229949216,2023-11-10T17:00:00.000Z,1653
22151229949216,2023-11-10T18:00:00.000Z,1801
22151229949216,2023-11-10T19:00:00.000Z,1955
22151229949216,2023-11-10T20:00:00.000Z,1798
22151229949216,2023-11-10T21:00:00.000Z,1714
22151229949216,2023-11-10T22:00:00.000Z,1614
22151229949216,2023-11-10T23:00:00.000Z,1567
22151229949216,2023-11-11T00:00:00.000Z,1632
22151229949216,2023-11-11T01:00:00.000Z,1507
22151229949216,2023-11-11T02:00:00.000Z,1191
22151229949216,2023-11-11T03:00:00.000Z,1185
22151229949216,2023-11-11T04:00:00.000Z,1159
22151229949216,2023-11-11T05:00:00.000Z,1193
22151229949216,2023-11-11T06:00:00.000Z,1204
22151229949216,2023-11-11T07:00:00.000Z,1268
22151229949216,2023-11-11T08:00:00.000Z,1205
22151229949216,2023-11-11T09:00:00.000Z,1141
22151229949216,2023-11-11T10:00:00.000Z,1350
22151229949216,2023-11-11T11:00:00.000Z,829
22151229949216,2023-11-11T12:00:00.000Z,1153
22151229949216,2023-11-11T13:00:00.000Z,1562
22151229949216,2023-11-11T14:00:00.000Z,1742
22151229949216,2023-11-11T15:00:00.000Z,2077
22151229949216,2023-11-11T16:00:00.000Z,2480
22151229949216,2023-11-11T17:00:00.000Z,1562
22151229949216,2023-11-11T18:00:00.000Z,1326
22151229949216,2023-11-11T19:00:00.000Z,977
22151229949216,2023-11-11T20:00:00.000Z,1003
22151229949216,2023-11-11T21:00:00.000Z,1122
22151229949216,2023-11-11T22:00:00.000Z,1857
22151229949216,2023-11-11T23:00:00.000Z,1948
22151229949216,2023-11-12T00:00:00.000Z,1528
22151229949216,2023-11-12T01:00:00.000Z,1632
22151229949216,2023-11-12T02:00:00.000Z,1465
22151229949216,2023-11-12T03:00:00.000Z,1193
22151229949216,2023-11-12T04:00:00.000Z,1086
22151229949216,2023-11-12T05:00:00.000Z,782
22151229949216,2023-11-12T06:00:00.000Z,1039
22151229949216,2023-11-12T07:00:00.000Z,1161
22151229949216,2023-11-12T08:00:00.000Z,1317
22151229949216,2023-11-12T09:00:00.000Z,1420
22151229949216,2023-11-12T10:00:00.000Z,1278
22151229949216,2023-11-12T11:00:00.000Z,922
22151229949216,2023-11-12T12:00:00.000Z,1157
22151229949216,2023-11-12T13:00:00.000Z,1027
22151229949216,2023-11-12T14:00:00.000Z,1093
22151229949216,2023-11-12T15:00:00.000Z,1322
22151229949216,2023-11-12T16:00:00.000Z,1770
22151229949216,2023-11-12T17:00:00.000Z,2528
22151229949216,2023-11-12T18:00:00.000Z,1960
22151229949216,2023-11-12T19:00:00.000Z,1400
22151229949216,2023-11-12T20:00:00.000Z,1339
22151229949216,2023-11-12T21:00:00.000Z,1082
22151229949216,2023-11-12T22:00:00.000Z,983
22151229949216,2023-11-12T23:00:00.000Z,749
22151229949216,2023-11-13T00:00:00.000Z,618
22151229949216,2023-11-13T01:00:00.000Z,680
22151229949216,2023-11-13T02:00:00.000Z,1418
22151229949216,2023-11-13T03:00:00.000Z,970
22151229949216,2023-11-13T04:00:00.000Z,636
22151229949216,2023-11-13T05:00:00.000Z,622
22151229949216,2023-11-13T06:00:00.000Z,925
22151229949216,2023-11-13T07:00:00.000Z,1016
22151229949216,2023-11-13T08:00:00.000Z,1013
22151229949216,2023-11-13T09:00:00.000Z,1043
22151229949216,2023-11-13T10:00:00.000Z,1190
