prm,startDate,powerInWatts
22175108508919,2023-11-06T23:00:00.000Z,328
22175108508919,2023-11-07T00:00:00.000Z,170
22175108508919,2023-11-07T01:00:00.000Z,199
22175108508919,2023-11-07T02:00:00.000Z,199
22175108508919,2023-11-07T03:00:00.000Z,204
22175108508919,2023-11-07T04:00:00.000Z,365
22175108508919,2023-11-07T05:00:00.000Z,471
22175108508919,2023-11-07T06:00:00.000Z,434
22175108508919,2023-11-07T07:00:00.000Z,194
22175108508919,2023-11-07T08:00:00.000Z,114
22175108508919,2023-11-07T09:00:00.000Z,135
22175108508919,2023-11-07T10:00:00.000Z,105
22175108508919,2023-11-07T11:00:00.000Z,121
22175108508919,2023-11-07T12:00:00.000Z,140
22175108508919,2023-11-07T13:00:00.000Z,178
22175108508919,2023-11-07T14:00:00.000Z,177
22175108508919,2023-11-07T15:00:00.000Z,201
22175108508919,2023-11-07T16:00:00.000Z,149
22175108508919,2023-11-07T17:00:00.000Z,174
22175108508919,2023-11-07T18:00:00.000Z,642
22175108508919,2023-11-07T19:00:00.000Z,1000
22175108508919,2023-11-07T20:00:00.000Z,915
22175108508919,2023-11-07T21:00:00.000Z,1861
22175108508919,2023-11-07T22:00:00.000Z,2646
22175108508919,2023-11-07T23:00:00.000Z,2703
22175108508919,2023-11-08T00:00:00.000Z,678
22175108508919,2023-11-08T01:00:00.000Z,261
22175108508919,2023-11-08T02:00:00.000Z,294
22175108508919,2023-11-08T03:00:00.000Z,1087
22175108508919,2023-11-08T04:00:00.000Z,315
22175108508919,2023-11-08T05:00:00.000Z,895
22175108508919,2023-11-08T06:00:00.000Z,470
22175108508919,2023-11-08T07:00:00.000Z,268
22175108508919,2023-11-08T08:00:00.000Z,356
22175108508919,2023-11-08T09:00:00.000Z,223
22175108508919,2023-11-08T10:00:00.000Z,124
22175108508919,2023-11-08T11:00:00.000Z,137
22175108508919,2023-11-08T12:00:00.000Z,112
22175108508919,2023-11-08T13:00:00.000Z,134
22175108508919,2023-11-08T14:00:00.000Z,1380
22175108508919,2023-11-08T15:00:00.000Z,800
22175108508919,2023-11-08T16:00:00.000Z,199
22175108508919,2023-11-08T17:00:00.000Z,878
22175108508919,2023-11-08T18:00:00.000Z,941
22175108508919,2023-11-08T19:00:00.000Z,1605
22175108508919,2023-11-08T20:00:00.000Z,1443
22175108508919,2023-11-08T21:00:00.000Z,2731
