date,value
2024-11-05,39296.0
2024-11-06,43457.0
2024-11-07,40159.0
2024-11-08,65892.0
2024-11-09,43785.0
2024-11-10,76495.0
2024-11-11,77636.0
2024-11-12,47782.0
2024-11-13,48395.0
2024-11-14,34959.0
2024-11-15,44041.0
2024-11-16,57841.0
2024-11-17,100256.0
2024-11-18,54622.0
2024-11-19,37369.0
2024-11-20,51803.0
2024-11-21,77330.0
2024-11-22,61522.0
2024-11-23,106992.0
2024-11-24,62201.0
2024-11-25,36046.0
2024-11-26,37390.0
2024-11-27,33549.0
2024-11-28,38618.0
2024-11-29,48623.0
2024-11-30,131441.0
2024-12-01,51792.0
2024-12-02,34884.0
2024-12-03,51057.0
2024-12-04,49078.0
2024-12-05,116689.0
2024-12-06,40052.0
2024-12-07,33718.0
2024-12-08,46047.0
2024-12-09,85185.0
2024-12-10,49716.0
2024-12-11,66576.0
2024-12-12,96926.0
2024-12-13,75562.0
2024-12-14,54953.0
2024-12-15,43398.0
2024-12-16,54878.0
2024-12-17,41357.0
2024-12-18,31735.0
2024-12-19,37035.0
2024-12-20,81152.0
2024-12-21,98938.0
2024-12-22,99274.0
2024-12-23,63946.0
2024-12-24,40997.0
2024-12-25,27739.0
2024-12-26,64500.0
2024-12-27,76847.0
2024-12-28,71304.0
2024-12-29,33683.0
2024-12-30,34359.0
2024-12-31,32244.0
2025-01-01,26962.0
2025-01-02,24592.0
2025-01-03,48419.0
2025-01-04,79303.0
2025-01-05,41497.0
2025-01-06,33603.0
2025-01-07,86864.0
2025-01-08,41960.0
2025-01-09,77597.0
2025-01-10,113008.0
2025-01-11,66752.0
2025-01-12,86865.0
2025-01-13,85849.0
2025-01-14,80083.0
2025-01-15,85184.0
2025-01-16,100929.0
2025-01-17,92516.0
2025-01-18,72985.0
2025-01-19,162049.0
2025-01-20,125996.0
2025-01-21,71949.0
2025-01-22,46855.0
2025-01-23,74724.0
2025-01-24,75475.0
2025-01-25,37162.0
2025-01-26,57235.0
2025-01-27,66610.0
2025-01-28,60605.0
2025-01-29,42261.0
2025-01-30,44890.0
2025-01-31,89333.0
2025-02-01,116232.0
2025-02-02,72337.0
2025-02-03,71855.0
2025-02-04,114908.0
2025-02-05,70898.0
2025-02-06,108359.0
2025-02-07,58935.0
2025-02-08,50393.0
2025-02-09,46276.0
2025-02-10,42819.0
2025-02-11,90159.0
2025-02-12,88777.0
2025-02-13,85466.0
2025-02-14,58822.0
2025-02-15,69102.0
2025-02-16,54583.0
2025-02-17,60417.0
2025-02-18,56779.0
2025-02-19,113594.0
2025-02-20,35547.0
2025-02-21,16763.0
2025-02-22,23393.0
2025-02-23,36279.0
2025-02-24,53909.0
2025-02-25,32354.0
2025-02-26,78529.0
2025-02-27,68742.0
2025-02-28,31608.0
2025-03-01,88921.0
2025-03-02,39543.0
2025-03-03,39397.0
2025-03-04,34584.0
2025-03-05,59648.0
2025-03-06,11609.0
2025-03-07,54262.0
2025-03-08,25099.0
2025-03-09,16984.0
2025-03-10,45902.0
2025-03-11,53132.0
2025-03-12,62743.0
2025-03-13,32825.0
2025-03-14,64107.0
2025-03-15,55473.0
2025-03-16,43732.0
2025-03-17,45433.0
2025-03-18,74352.0
2025-03-19,23329.0
2025-03-20,25659.0
2025-03-21,55471.0
2025-03-22,50899.0
2025-03-23,76946.0
2025-03-24,27904.0
2025-03-25,60023.0
2025-03-26,40985.0
2025-03-27,35075.0
2025-03-28,40842.0
2025-03-29,56369.0
2025-03-30,40965.0
2025-03-31,35105.0
2025-04-01,31892.0
2025-04-02,111961.0
2025-04-03,30550.0
2025-04-04,22531.0
2025-04-05,24571.0
2025-04-06,31781.0
2025-04-07,65191.0
2025-04-08,42731.0
2025-04-09,35157.0
2025-04-10,25352.0
2025-04-11,47962.0
2025-04-12,34658.0
2025-04-13,25589.0
2025-04-14,67638.0
2025-04-15,26820.0
2025-04-16,26537.0
2025-04-17,41851.0
2025-04-18,27073.0
2025-04-19,43212.0
2025-04-20,22995.0
2025-04-21,17390.0
2025-04-22,42746.0
2025-04-23,77482.0
2025-04-24,37575.0
2025-04-25,40609.0
2025-04-26,37678.0
2025-04-27,27066.0
2025-04-28,23298.0
2025-04-29,46099.0
2025-04-30,24761.0
2025-05-01,27389.0
2025-05-02,22351.0
2025-05-03,21851.0
2025-05-04,26492.0
2025-05-05,51111.0
2025-05-06,53868.0
2025-05-07,45419.0
2025-05-08,30606.0
2025-05-09,39002.0
2025-05-10,27187.0
2025-05-11,24831.0
2025-05-12,23965.0
2025-05-13,22795.0
2025-05-14,26543.0
2025-05-15,56947.0
2025-05-16,48393.0
2025-05-17,58021.0
2025-05-18,23902.0
2025-05-19,21822.0
2025-05-20,38823.0
2025-05-21,23517.0
2025-05-22,21396.0
2025-05-23,31484.0
2025-05-24,22876.0
2025-05-25,45790.0
2025-05-26,60872.0
2025-05-27,37514.0
2025-05-28,23006.0
2025-05-29,22144.0
2025-05-30,47169.0
2025-05-31,19202.0
2025-06-01,21859.0
2025-06-02,41259.0
2025-06-03,23526.0
2025-06-04,26362.0
2025-06-05,23324.0
2025-06-06,60931.0
2025-06-07,67988.0
2025-06-08,26832.0
2025-06-09,24429.0
2025-06-10,23067.0
2025-06-11,22696.0
2025-06-12,46358.0
2025-06-13,22615.0
2025-06-14,30417.0
2025-06-15,53436.0
2025-06-16,17190.0
2025-06-17,17481.0
2025-06-18,54668.0
2025-06-19,25725.0
2025-06-20,22176.0
2025-06-21,26344.0
2025-06-22,24979.0
2025-06-23,24499.0
2025-06-24,57292.0
2025-06-25,41833.0
2025-06-26,79082.0
2025-06-27,24385.0
2025-06-28,21937.0
2025-06-29,26422.0
2025-06-30,23999.0
2025-07-01,21162.0
2025-07-02,64569.0
2025-07-03,20186.0
2025-07-04,17830.0
2025-07-05,18930.0
2025-07-06,19006.0
2025-07-07,17495.0
2025-07-08,19050.0
2025-07-09,17982.0
2025-07-10,18640.0
2025-07-11,19068.0
2025-07-12,17731.0
2025-07-13,18938.0
2025-07-14,17763.0
2025-07-15,19480.0
2025-07-16,19254.0
2025-07-17,60910.0
2025-07-18,78001.0
2025-07-19,26728.0
2025-07-20,23761.0
2025-07-21,24792.0
2025-07-22,30230.0
2025-07-23,46947.0
2025-07-24,27389.0
2025-07-25,26764.0
2025-07-26,24141.0
2025-07-27,25122.0
2025-07-28,28207.0
2025-07-29,38095.0
2025-07-30,51993.0
2025-07-31,27133.0
2025-08-01,24231.0
2025-08-02,22456.0
2025-08-03,58125.0
2025-08-04,54479.0
2025-08-05,24306.0
2025-08-06,49037.0
2025-08-07,22607.0
2025-08-08,24503.0
2025-08-09,29187.0
