prm,startDate,powerInWatts
22428654104985,2024-03-27T23:00:00.000Z,343
22428654104985,2024-03-28T00:00:00.000Z,335
22428654104985,2024-03-28T01:00:00.000Z,350
22428654104985,2024-03-28T02:00:00.000Z,372
22428654104985,2024-03-28T03:00:00.000Z,375
22428654104985,2024-03-28T04:00:00.000Z,368
22428654104985,2024-03-28T05:00:00.000Z,409
22428654104985,2024-03-28T06:00:00.000Z,499
22428654104985,2024-03-28T07:00:00.000Z,448
22428654104985,2024-03-28T08:00:00.000Z,376
22428654104985,2024-03-28T09:00:00.000Z,481
22428654104985,2024-03-28T10:00:00.000Z,2254
22428654104985,2024-03-28T11:00:00.000Z,850
22428654104985,2024-03-28T12:00:00.000Z,1654
22428654104985,2024-03-28T13:00:00.000Z,2241
22428654104985,2024-03-28T14:00:00.000Z,1980
22428654104985,2024-03-28T15:00:00.000Z,1303
22428654104985,2024-03-28T16:00:00.000Z,394
22428654104985,2024-03-28T17:00:00.000Z,608
22428654104985,2024-03-28T18:00:00.000Z,451
22428654104985,2024-03-28T19:00:00.000Z,378
22428654104985,2024-03-28T20:00:00.000Z,407
22428654104985,2024-03-28T21:00:00.000Z,708
22428654104985,2024-03-28T22:00:00.000Z,437
22428654104985,2024-03-28T23:00:00.000Z,432
22428654104985,2024-03-29T00:00:00.000Z,420
22428654104985,2024-03-29T01:00:00.000Z,337
22428654104985,2024-03-29T02:00:00.000Z,357
22428654104985,2024-03-29T03:00:00.000Z,365
22428654104985,2024-03-29T04:00:00.000Z,364
22428654104985,2024-03-29T05:00:00.000Z,510
22428654104985,2024-03-29T06:00:00.000Z,500
22428654104985,2024-03-29T07:00:00.000Z,943
22428654104985,2024-03-29T08:00:00.000Z,1103
22428654104985,2024-03-29T09:00:00.000Z,693
22428654104985,2024-03-29T10:00:00.000Z,539
22428654104985,2024-03-29T11:00:00.000Z,408
22428654104985,2024-03-29T12:00:00.000Z,333
22428654104985,2024-03-29T13:00:00.000Z,334
22428654104985,2024-03-29T14:00:00.000Z,327
22428654104985,2024-03-29T15:00:00.000Z,580
22428654104985,2024-03-29T16:00:00.000Z,456
22428654104985,2024-03-29T17:00:00.000Z,430
22428654104985,2024-03-29T18:00:00.000Z,1306
22428654104985,2024-03-29T19:00:00.000Z,1961
22428654104985,2024-03-29T20:00:00.000Z,604
22428654104985,2024-03-29T21:00:00.000Z,710
22428654104985,2024-03-29T22:00:00.000Z,978
22428654104985,2024-03-29T23:00:00.000Z,619
22428654104985,2024-03-30T00:00:00.000Z,537
22428654104985,2024-03-30T01:00:00.000Z,552
22428654104985,2024-03-30T02:00:00.000Z,646
22428654104985,2024-03-30T03:00:00.000Z,650
22428654104985,2024-03-30T04:00:00.000Z,702
22428654104985,2024-03-30T05:00:00.000Z,611
22428654104985,2024-03-30T06:00:00.000Z,779
22428654104985,2024-03-30T07:00:00.000Z,1066
22428654104985,2024-03-30T08:00:00.000Z,1167
22428654104985,2024-03-30T09:00:00.000Z,1256
22428654104985,2024-03-30T10:00:00.000Z,1251
22428654104985,2024-03-30T11:00:00.000Z,716
22428654104985,2024-03-30T12:00:00.000Z,322
22428654104985,2024-03-30T13:00:00.000Z,325
22428654104985,2024-03-30T14:00:00.000Z,621
22428654104985,2024-03-30T15:00:00.000Z,371
22428654104985,2024-03-30T16:00:00.000Z,509
22428654104985,2024-03-30T17:00:00.000Z,427
22428654104985,2024-03-30T18:00:00.000Z,375
22428654104985,2024-03-30T19:00:00.000Z,501
22428654104985,2024-03-30T20:00:00.000Z,1398
22428654104985,2024-03-30T21:00:00.000Z,1273
22428654104985,2024-03-30T22:00:00.000Z,1143
22428654104985,2024-03-30T23:00:00.000Z,1119
22428654104985,2024-03-31T00:00:00.000Z,1108
22428654104985,2024-03-31T01:00:00.000Z,1119
22428654104985,2024-03-31T02:00:00.000Z,1076
22428654104985,2024-03-31T03:00:00.000Z,1093
22428654104985,2024-03-31T04:00:00.000Z,1065
22428654104985,2024-03-31T05:00:00.000Z,1048
22428654104985,2024-03-31T06:00:00.000Z,1024
22428654104985,2024-03-31T07:00:00.000Z,999
22428654104985,2024-03-31T08:00:00.000Z,1181
22428654104985,2024-03-31T09:00:00.000Z,709
22428654104985,2024-03-31T10:00:00.000Z,1046
22428654104985,2024-03-31T11:00:00.000Z,989
22428654104985,2024-03-31T12:00:00.000Z,955
22428654104985,2024-03-31T13:00:00.000Z,2188
22428654104985,2024-03-31T14:00:00.000Z,2041
22428654104985,2024-03-31T15:00:00.000Z,543
22428654104985,2024-03-31T16:00:00.000Z,1576
22428654104985,2024-03-31T17:00:00.000Z,1699
