prm,startDate,powerInWatts
22481910228552,2024-03-20T23:00:00.000Z,1714
22481910228552,2024-03-21T00:00:00.000Z,1258
22481910228552,2024-03-21T01:00:00.000Z,669
22481910228552,2024-03-21T02:00:00.000Z,707
22481910228552,2024-03-21T03:00:00.000Z,732
22481910228552,2024-03-21T04:00:00.000Z,2103
22481910228552,2024-03-21T05:00:00.000Z,1540
22481910228552,2024-03-21T06:00:00.000Z,1781
22481910228552,2024-03-21T07:00:00.000Z,1807
22481910228552,2024-03-21T08:00:00.000Z,1877
22481910228552,2024-03-21T09:00:00.000Z,2681
22481910228552,2024-03-21T10:00:00.000Z,1320
22481910228552,2024-03-21T11:00:00.000Z,1153
22481910228552,2024-03-21T12:00:00.000Z,1114
22481910228552,2024-03-21T13:00:00.000Z,472
22481910228552,2024-03-21T14:00:00.000Z,329
22481910228552,2024-03-21T15:00:00.000Z,609
22481910228552,2024-03-21T16:00:00.000Z,1027
22481910228552,2024-03-21T17:00:00.000Z,384
22481910228552,2024-03-21T18:00:00.000Z,417
22481910228552,2024-03-21T19:00:00.000Z,554
22481910228552,2024-03-21T20:00:00.000Z,1179
22481910228552,2024-03-21T21:00:00.000Z,1659
22481910228552,2024-03-21T22:00:00.000Z,1770
22481910228552,2024-03-21T23:00:00.000Z,936
22481910228552,2024-03-22T00:00:00.000Z,720
22481910228552,2024-03-22T01:00:00.000Z,728
22481910228552,2024-03-22T02:00:00.000Z,370
22481910228552,2024-03-22T03:00:00.000Z,809
22481910228552,2024-03-22T04:00:00.000Z,1505
22481910228552,2024-03-22T05:00:00.000Z,1472
22481910228552,2024-03-22T06:00:00.000Z,545
22481910228552,2024-03-22T07:00:00.000Z,675
22481910228552,2024-03-22T08:00:00.000Z,661
22481910228552,2024-03-22T09:00:00.000Z,1421
22481910228552,2024-03-22T10:00:00.000Z,1443
22481910228552,2024-03-22T11:00:00.000Z,1579
22481910228552,2024-03-22T12:00:00.000Z,1427
22481910228552,2024-03-22T13:00:00.000Z,475
22481910228552,2024-03-22T14:00:00.000Z,291
22481910228552,2024-03-22T15:00:00.000Z,544
22481910228552,2024-03-22T16:00:00.000Z,760
22481910228552,2024-03-22T17:00:00.000Z,886
22481910228552,2024-03-22T18:00:00.000Z,845
22481910228552,2024-03-22T19:00:00.000Z,1553
22481910228552,2024-03-22T20:00:00.000Z,1737
22481910228552,2024-03-22T21:00:00.000Z,1755
22481910228552,2024-03-22T22:00:00.000Z,957
22481910228552,2024-03-22T23:00:00.000Z,667
22481910228552,2024-03-23T00:00:00.000Z,1582
22481910228552,2024-03-23T01:00:00.000Z,771
22481910228552,2024-03-23T02:00:00.000Z,619
22481910228552,2024-03-23T03:00:00.000Z,411
22481910228552,2024-03-23T04:00:00.000Z,1371
22481910228552,2024-03-23T05:00:00.000Z,3018
22481910228552,2024-03-23T06:00:00.000Z,1983
22481910228552,2024-03-23T07:00:00.000Z,1990
22481910228552,2024-03-23T08:00:00.000Z,2058
22481910228552,2024-03-23T09:00:00.000Z,2582
22481910228552,2024-03-23T10:00:00.000Z,2761
22481910228552,2024-03-23T11:00:00.000Z,2726
22481910228552,2024-03-23T12:00:00.000Z,2467
22481910228552,2024-03-23T13:00:00.000Z,601
22481910228552,2024-03-23T14:00:00.000Z,453
22481910228552,2024-03-23T15:00:00.000Z,375
22481910228552,2024-03-23T16:00:00.000Z,490
22481910228552,2024-03-23T17:00:00.000Z,623
22481910228552,2024-03-23T18:00:00.000Z,750
22481910228552,2024-03-23T19:00:00.000Z,963
22481910228552,2024-03-23T20:00:00.000Z,608
22481910228552,2024-03-23T21:00:00.000Z,1643
22481910228552,2024-03-23T22:00:00.000Z,2371
22481910228552,2024-03-23T23:00:00.000Z,2178
22481910228552,2024-03-24T00:00:00.000Z,1213
22481910228552,2024-03-24T01:00:00.000Z,831
22481910228552,2024-03-24T02:00:00.000Z,447
22481910228552,2024-03-24T03:00:00.000Z,389
22481910228552,2024-03-24T04:00:00.000Z,1701
22481910228552,2024-03-24T05:00:00.000Z,3161
22481910228552,2024-03-24T06:00:00.000Z,2191
22481910228552,2024-03-24T07:00:00.000Z,3416
22481910228552,2024-03-24T08:00:00.000Z,4185
22481910228552,2024-03-24T09:00:00.000Z,2836
22481910228552,2024-03-24T10:00:00.000Z,2775
22481910228552,2024-03-24T11:00:00.000Z,3431
22481910228552,2024-03-24T12:00:00.000Z,2260
22481910228552,2024-03-24T13:00:00.000Z,2748
22481910228552,2024-03-24T14:00:00.000Z,4074
22481910228552,2024-03-24T15:00:00.000Z,4397
22481910228552,2024-03-24T16:00:00.000Z,3036
22481910228552,2024-03-24T17:00:00.000Z,2413
22481910228552,2024-03-24T18:00:00.000Z,1346
22481910228552,2024-03-24T19:00:00.000Z,1584
22481910228552,2024-03-24T20:00:00.000Z,2171
